signal_date,symbol,side,cbt,entry,stoploss,target,status,exit_date,exit_price,max_profit_pct,max_drawdown_pct,days_held,pnl_pct,last_price,last_date
2026-08-20,MCLOUD,sell,29.57,29.889999389648438,32.41,26.98,TP Hit,2026-08-31,26.98,11.34,3.38,11,9.74,26.98,2026-08-31
2026-08-20,SCODATUBES,buy,126.68,126.07,119.14,142.49,Open,,,7.26,0.65,11,,128.38,2026-08-31
2026-08-20,SGFIN,sell,684.65,698.5,738.67,658.28,Open,,,2.51,2.36,11,,688.65,2026-08-31
2026-08-21,KPRMILL,sell,1151.6,1158.0,1201.11,1052.68,Open,,,5.0,3.45,10,,1177.6,2026-08-31
2026-08-24,AEGISLOG,sell,1341.5,1424.4000244140625,1524.12,1295.43,TP Hit,2026-08-27,1295.43,9.36,0.96,3,9.05,1295.43,2026-08-27
2026-08-24,IOLCP,sell,169.08,170.69000244140625,184.46,160.61,SL Hit,2026-08-26,184.46,2.1,9.92,2,-8.07,184.46,2026-08-26
2026-08-25,FIVESTAR,buy,501.0,500.0,472.74,544.19,Open,,,8.0,2.1,6,,535.05,2026-08-31
2026-08-25,INDOSTAR,sell,257.55,261.45001220703125,274.72,235.44,Open,,,6.73,0.38,6,,249.3,2026-08-31
2026-08-25,INNOVANA,sell,310.3,320.0,356.89,304.16,TP Hit,2026-08-28,304.16,6.25,1.88,3,4.95,304.16,2026-08-28
2026-08-25,VOGL,sell,38.95,39.54999923706055,42.86,37.96,SL Hit,2026-08-27,42.86,2.0,9.48,2,-8.37,42.86,2026-08-27
2026-08-26,BUTTERFLY,buy,639.25,634.9,611.06,722.36,Open,,,3.24,1.56,5,,629.0,2026-08-31
2026-08-26,KRITINUT,sell,88.1,90.38999938964844,96.4,85.68,TP Hit,2026-08-27,85.68,5.84,1.78,1,5.21,85.68,2026-08-27
2026-08-26,ORISSAMINE,buy,4572.2,4480.0,4274.54,4984.55,Open,,,3.25,4.02,6,,4325.0,2026-09-01
2026-08-26,SPORTKING,sell,224.23,228.5,242.04,203.45,Open,,,4.68,4.77,6,,229.91,2026-09-01
2026-08-27,AEROENTER,sell,142.25,145.0297657456595,153.34,131.82,Open,,,5.88,2.74,4,,138.45,2026-08-31
2026-08-27,GENESYS,sell,234.5,236.89999389648438,275.8,213.73,TP Hit,2026-08-31,213.73,9.94,2.43,4,9.78,213.73,2026-08-31
2026-08-27,NPST,sell,1638.8,1660.199951171875,1846.48,1600.49,Open,,,2.1,5.22,4,,1670.6,2026-08-31
2026-08-27,RADIANTCMS,sell,40.41,41.5099983215332,43.88,35.08,Open,,,6.05,0.58,4,,39.7,2026-08-31
2026-08-27,WABAG,sell,2133.9,2161.0,2296.97,1922.6,Open,,,9.07,2.5,5,,2013.9,2026-09-01
2026-08-28,AEGISVOPAK,buy,269.9,267.0,246.75,292.58,Open,,,2.13,2.0,3,,268.75,2026-08-31
2026-08-28,APARINDS,sell,17803.0,17858.0,18764.82,16859.36,Open,,,2.09,1.04,3,,17702.0,2026-08-31
2026-08-28,JAIBALAJI,sell,69.23,70.30000305175781,75.16,65.54,Open,,,2.63,3.4,3,,72.16,2026-08-31
2026-08-28,PNGJL,buy,598.0,595.0,562.91,643.65,Open,,,1.13,2.59,3,,583.9,2026-08-31
2026-08-28,ROSSTECH,sell,1104.6,1111.8499755859375,1201.04,1084.87,Open,,,1.88,2.53,3,,1109.95,2026-08-31
2026-08-28,SONATSOFTW,buy,304.6,290.5,274.75,311.77,Open,,,5.51,2.2,4,,289.0,2026-09-01
2026-08-31,GANESHCP,sell,171.15,175.00999450683594,187.02,164.07,Open,,,2.86,2.85,0,,171.15,2026-08-31
2026-08-31,IFBIND,buy,1331.4,1331.1,1281.09,1429.53,Open,,,1.49,0.75,0,,1331.4,2026-08-31
2026-08-31,NSLNISP,sell,46.19,48.349998474121094,51.21,44.73,Open,,,6.54,0.27,1,,45.61,2026-09-01
2026-08-31,TREJHARA,buy,146.75,146.0,134.52,173.96,Open,,,5.48,2.73,1,,144.98,2026-09-01
2026-08-31,WOCKPHARMA,sell,1883.7,1974.9000244140625,2115.07,1891.19,TP Hit,2026-08-31,1891.19,5.21,0.11,0,4.24,1891.19,2026-08-31
