signal_date,symbol,side,entry,stoploss,target,pnl_pct,reentry_date,reentry_side,reentry_entry,reentry_sl,reentry_tp,reentry_status,reentry_exit_date,reentry_exit_price,reentry_pnl_pct
2026-07-06,MXL,buy,94.47,77.98,117.61,-17.46,2026-07-17,Green,71.84,55.998,84.3799,TP Hit,2026-07-21,84.3799,17.46
2026-07-09,SFM,buy,79.4,74.14,88.24,-6.62,2026-07-17,Green,75.78,70.3028,80.8002,SL Hit,2026-07-23,70.3028,-7.23
2026-07-06,SMTC,buy,138.51,116.59,158.04,-15.83,2026-07-17,Green,124.96,101.9374,144.7356,TP Hit,2026-08-17,144.7356,15.83
2026-06-29,VRT,buy,304.65,273.5,345.48,-10.22,2026-07-17,Green,289.56,250.5012,319.1671,SL Hit,2026-07-29,250.5012,-13.49
2026-07-07,AAPL,sell,315.0183186077797,323.59,294.52,-2.72,2026-07-20,Red,326.59,342.0754,317.7034,SL Hit,2026-07-28,342.0754,-4.74
2026-07-14,ASO,sell,47.349998474121094,49.54,44.85,-4.63,2026-07-20,Red,47.82,50.8621,45.6083,SL Hit,2026-07-28,50.8621,-6.36
2026-07-09,AAP,buy,54.24,51.43,60.67,-5.18,2026-07-21,Green,55.64,50.4489,58.5225,TP Hit,2026-07-28,58.5225,5.18
2026-07-09,UPST,buy,31.81,28.81,35.76,-9.43,2026-07-21,Green,29.27,26.5764,32.0305,SL Hit,2026-07-28,26.5764,-9.2
2026-06-25,WFRD,buy,84.39,78.7,94.1,-6.74,2026-07-21,Green,83.32,74.0684,88.9379,TP Hit,2026-07-22,88.9379,6.74
2026-07-09,ALK,buy,48.0,43.52,52.73,-9.33,2026-07-22,Green,44.36,39.106,48.5003,TP Hit,2026-07-28,48.5003,9.33
2026-06-10,HOG,sell,25.360000610351562,26.84,23.27,-5.84,2026-07-22,Red,27.62,29.7969,26.0081,TP Hit,2026-07-23,26.0081,5.84
2026-07-08,HOG,sell,26.219999313354492,27.2,24.66,-3.74,2026-07-22,Red,27.62,29.7969,26.5877,TP Hit,2026-07-23,26.5877,3.74
2026-07-14,KNTK,sell,50.299554989464234,51.92,45.84,-3.22,2026-07-23,Red,51.71,54.0156,50.0441,TP Hit,2026-07-27,50.0441,3.22
2026-07-09,RKT,buy,14.23,12.87,15.61,-9.56,2026-07-24,Green,13.05,11.8469,14.2972,TP Hit,2026-07-29,14.2972,9.56
2026-07-14,APP,buy,433.5,395.49,543.04,-8.77,2026-07-27,Green,412.73,376.449,448.9189,SL Hit,2026-08-06,376.449,-8.79
2026-07-13,HRI,sell,149.9199981689453,160.75,138.14,-7.22,2026-07-27,Red,160.0,170.6623,148.4418,TP Hit,2026-07-28,148.4418,7.22
2026-07-17,MRNA,buy,61.68,56.35,79.38,-8.64,2026-07-27,Green,55.63,50.5981,60.4372,TP Hit,2026-08-10,60.4372,8.64
2026-07-27,NUE,sell,249.1199951171875,258.21,222.09,-3.65,2026-07-29,Red,256.02,278.0559,246.6782,SL Hit,2026-08-05,278.0559,-8.61
2026-07-17,VZ,sell,44.63999938964844,46.28,41.81,-3.67,2026-07-29,Red,47.22,50.3486,45.4852,TP Hit,2026-07-31,45.4852,3.67
2026-07-16,BILL,sell,44.810001373291016,47.09,40.31,-5.09,2026-07-30,Red,45.39,49.3069,43.0805,SL Hit,2026-08-05,49.3069,-8.63
2026-07-08,CRM,sell,167.3699951171875,179.14,151.9,-7.03,2026-07-30,Red,180.71,190.8688,168.0019,SL Hit,2026-08-03,190.8688,-5.62
2026-07-08,EPAM,sell,88.27999877929688,96.27,78.07,-9.05,2026-07-30,Red,103.66,110.1472,94.278,SL Hit,2026-08-04,110.1472,-6.26
2026-07-08,EXPO,sell,62.2599983215332,65.64,55.09,-5.43,2026-07-30,Red,64.57,67.4446,61.0646,SL Hit,2026-07-31,67.4446,-4.45
2026-07-23,FROG,buy,80.33,72.69,88.88,-9.51,2026-07-30,Green,78.42,67.3196,85.8783,TP Hit,2026-08-04,85.8783,9.51
2026-07-08,KMPR,sell,29.124056232958637,30.81,25.36,-5.79,2026-07-30,Red,29.11,31.6524,27.4249,TP Hit,2026-08-10,27.4249,5.79
2026-07-17,MTSI,buy,263.58,232.52,303.79,-11.78,2026-07-30,Green,248.71,222.0834,278.0177,TP Hit,2026-08-06,278.0177,11.78
2026-07-15,NMIH,sell,41.68000030517578,43.37,37.35,-4.05,2026-07-30,Red,43.44,45.3866,41.6786,SL Hit,2026-07-31,45.3866,-4.48
2026-07-24,OMCL,buy,40.34,37.24,44.73,-7.68,2026-07-30,Green,37.11,32.5967,39.9618,SL Hit,2026-08-31,32.5967,-12.16
2026-07-07,TTEK,sell,31.22653998983545,32.66,27.31,-4.59,2026-07-30,Red,32.45,36.126,30.9604,SL Hit,2026-08-13,36.126,-11.33
2026-07-27,HWKN,buy,139.54,128.91,144.99,-7.62,2026-07-31,Green,128.03,112.5546,137.7832,Open,,,
2026-07-24,PRVA,buy,25.26,23.87,26.89,-5.5,2026-07-31,Green,23.67,22.6313,24.9725,SL Hit,2026-08-06,22.6313,-4.39
2026-07-14,SHOO,sell,42.790000915527344,44.62,40.15,-4.28,2026-07-31,Red,46.08,50.6258,44.1093,TP Hit,2026-08-31,44.1093,4.28
2026-06-25,ABNB,sell,144.5,151.8,135.33,-5.05,2026-08-03,Red,150.64,158.8595,143.0298,SL Hit,2026-08-07,158.8595,-5.46
2026-07-09,INSW,sell,87.45999908447266,92.59,78.76,-5.87,2026-08-03,Red,95.23,101.9169,89.6442,TP Hit,2026-08-11,89.6442,5.87
2026-07-08,SMTC,buy,125.29,109.45,158.04,-12.64,2026-08-03,Green,119.08,101.4353,134.1349,TP Hit,2026-08-06,134.1349,12.64
2026-07-09,ANET,sell,187.0,199.96,148.98,-6.93,2026-08-05,Red,197.31,226.3344,183.6355,TP Hit,2026-08-20,183.6355,6.93
2026-07-28,DT,sell,44.0099983215332,46.54,41.38,-5.75,2026-08-05,Red,50.86,55.3147,47.9362,TP Hit,2026-08-17,47.9362,5.75
2026-07-30,ESTC,sell,64.48999786376953,69.01,57.8,-7.01,2026-08-05,Red,69.72,76.2384,64.8334,SL Hit,2026-08-10,76.2384,-9.35
2026-07-30,MIRM,buy,108.04,100.87,119.89,-6.64,2026-08-06,Green,94.115,82.3549,100.3609,TP Hit,2026-08-07,100.3609,6.64
2026-07-17,NTCT,buy,39.72,37.72,43.88,-5.04,2026-08-06,Green,40.13,35.0569,42.1506,Open,,,
2026-07-14,AXSM,buy,229.02,215.1,250.92,-6.08,2026-08-07,Green,212.74,199.2846,225.6705,SL Hit,2026-08-28,199.2846,-6.32
2026-07-30,BLKB,sell,42.11000061035156,46.72,32.24,-10.95,2026-08-07,Red,45.87,50.1495,40.8484,Open,,,
2026-07-30,CARG,sell,36.47999954223633,39.28,32.92,-7.68,2026-08-07,Red,38.985,42.9216,35.9927,TP Hit,2026-08-12,35.9927,7.68
2026-08-05,SMTC,sell,126.8499984741211,141.91,111.17,-11.87,2026-08-07,Red,139.42,155.3185,122.8676,SL Hit,2026-08-17,155.3185,-11.4
2026-07-29,ICFI,sell,83.13999938964844,88.0,76.74,-5.85,2026-08-10,Red,91.51,97.909,86.1607,Open,,,
2026-07-17,EXTR,buy,29.17,27.13,32.7,-6.99,2026-08-11,Green,23.9,21.8996,25.5714,SL Hit,2026-09-01,21.8996,-8.37
2026-08-06,IDCC,sell,331.57000732421875,348.46,284.37,-5.09,2026-08-11,Red,338.07,363.3527,320.8489,TP Hit,2026-09-01,320.8489,5.09
2026-08-06,BL,buy,29.68,27.65,32.6,-6.84,2026-08-12,Green,28.42,26.0403,30.3638,TP Hit,2026-08-13,30.3638,6.84
2026-08-05,TH,sell,16.0,17.11,14.8,-6.94,2026-08-12,Red,16.14,18.1044,15.0203,SL Hit,2026-08-17,18.1044,-12.17
2026-07-14,TMDX,sell,75.37999725341797,81.28,67.12,-7.83,2026-08-12,Red,87.02,92.5904,80.2089,SL Hit,2026-08-19,92.5904,-6.4
2026-08-05,WFRD,sell,89.67736298986155,94.19,84.02,-5.03,2026-08-12,Red,92.7,97.966,88.0353,TP Hit,2026-08-24,88.0353,5.03
2026-07-27,BAH,sell,72.01395061934195,78.67,65.7,-9.24,2026-08-13,Red,78.4,82.2227,71.1537,Open,,,
2026-08-07,MTN,buy,147.13,140.54,156.66,-4.48,2026-08-13,Green,145.42,135.6234,151.9334,TP Hit,2026-08-19,151.9334,4.48
2026-07-30,CART,sell,45.209999084472656,48.47,43.3,-7.21,2026-08-14,Red,48.88,51.8713,45.3554,SL Hit,2026-08-24,51.8713,-6.12
2026-08-06,KRUS,sell,48.779998779296875,52.51,46.63,-7.65,2026-08-14,Red,52.96,55.8962,48.9104,TP Hit,2026-08-20,48.9104,7.65
2026-08-05,ONTO,sell,284.3699951171875,320.58,235.97,-12.73,2026-08-14,Red,331.71,370.4167,289.472,TP Hit,2026-08-21,289.472,12.73
2026-07-29,RGEN,sell,144.24000549316406,162.25,134.36,-12.49,2026-08-14,Red,166.83,174.8369,145.9994,SL Hit,2026-08-19,174.8369,-4.8
2026-08-07,WFRD,sell,88.16000366210938,94.94,84.02,-7.69,2026-08-17,Red,93.08,99.2833,85.9216,SL Hit,2026-09-02,99.2833,-6.66
2026-07-31,PWR,sell,679.1400146484375,721.45,577.95,-6.23,2026-08-18,Red,696.15,739.5056,652.7803,TP Hit,2026-08-21,652.7803,6.23
2026-07-17,NDAQ,sell,93.2300033569336,98.08,83.97,-5.2,2026-08-19,Red,96.35,100.8104,91.3377,SL Hit,2026-08-27,100.8104,-4.63
2026-07-31,TRV,buy,373.99,360.01,390.12,-3.74,2026-08-20,Green,364.49,350.5167,378.1149,Open,,,
2026-07-17,NFG,sell,82.55000305175781,84.71,77.36,-2.62,2026-08-21,Red,82.48,85.8542,80.3218,Open,,,
2026-08-06,LCID,buy,6.66,5.34,7.96,-19.82,2026-08-25,Green,5.26,4.3874,6.3025,Open,,,
2026-08-07,DOX,sell,59.290000915527344,62.08,56.18,-4.71,2026-08-27,Red,62.7,66.0354,59.7495,Open,,,
2026-07-24,DECK,buy,94.01,87.8,110.28,-6.61,2026-08-28,Green,87.76,83.4375,93.5571,Open,,,
2026-08-05,WING,buy,120.91,110.1,135.45,-8.94,2026-08-28,Green,113.58,103.283,123.7347,Open,,,
2026-07-30,ADBE,sell,251.5,278.59,240.22,-10.77,2026-09-01,Red,286.08,304.8581,255.2652,Open,,,
2026-08-21,LNG,sell,279.9599914550781,289.07,255.5,-3.25,2026-09-01,Red,294.13,306.069,284.5589,Open,,,
2026-08-20,ENTG,buy,144.11,131.56,160.92,-8.71,2026-09-02,Green,131.31,118.6498,142.7453,Open,,,
2026-08-19,UFPI,buy,88.65,83.57,91.9,-5.73,2026-09-02,Green,82.91,78.8613,87.6611,Open,,,
